mean_prob,observed_rate,n,model
0.32531219720840454,0.08361581920903954,885,XGBoost__spectral_graph_embedding
0.3932148814201355,0.057757644394110984,883,XGBoost__spectral_graph_embedding
0.45319482684135437,0.048642533936651584,884,XGBoost__spectral_graph_embedding
0.48901575803756714,0.030269058295964126,892,XGBoost__spectral_graph_embedding
0.518835723400116,0.036488027366020526,877,XGBoost__spectral_graph_embedding
0.6168729662895203,0.05096262740656852,883,XGBoost__spectral_graph_embedding
0.0019953906094851335,0.0,929,ExtraTrees__tabular_plus_graph_plus_spectral
0.009000891205107203,0.004722550177095631,847,ExtraTrees__tabular_plus_graph_plus_spectral
0.016169564925656105,0.006493506493506494,924,ExtraTrees__tabular_plus_graph_plus_spectral
0.022995091472209732,0.008264462809917356,847,ExtraTrees__tabular_plus_graph_plus_spectral
0.03161013493097933,0.01362088535754824,881,ExtraTrees__tabular_plus_graph_plus_spectral
0.04226213473362266,0.04218928164196123,877,ExtraTrees__tabular_plus_graph_plus_spectral
0.05542637651615049,0.04072398190045249,884,ExtraTrees__tabular_plus_graph_plus_spectral
0.07332608139888204,0.04411764705882353,884,ExtraTrees__tabular_plus_graph_plus_spectral
0.1067161750908666,0.05995475113122172,884,ExtraTrees__tabular_plus_graph_plus_spectral
0.3831263931339612,0.2420814479638009,884,ExtraTrees__tabular_plus_graph_plus_spectral
4.792449608831527e-05,0.0,885,HistGradientBoosting__tabular_plus_graph_plus_spectral
6.464407156493616e-05,0.0,884,HistGradientBoosting__tabular_plus_graph_plus_spectral
9.252757303125941e-05,0.0,884,HistGradientBoosting__tabular_plus_graph_plus_spectral
0.0001325397350582324,0.0022624434389140274,884,HistGradientBoosting__tabular_plus_graph_plus_spectral
0.00020271548440697716,0.0011312217194570137,884,HistGradientBoosting__tabular_plus_graph_plus_spectral
0.0004514714017753101,0.03619909502262444,884,HistGradientBoosting__tabular_plus_graph_plus_spectral
0.0018012373965668636,0.12104072398190045,884,HistGradientBoosting__tabular_plus_graph_plus_spectral
0.00949349003176778,0.053167420814479636,884,HistGradientBoosting__tabular_plus_graph_plus_spectral
0.05194613224049816,0.019230769230769232,884,HistGradientBoosting__tabular_plus_graph_plus_spectral
0.49336721295801167,0.22850678733031674,884,HistGradientBoosting__tabular_plus_graph_plus_spectral
5.255072392174043e-05,0.0,885,XGBoost__tabular_plus_graph_plus_spectral
0.0001452229917049408,0.0,884,XGBoost__tabular_plus_graph_plus_spectral
0.0002762876101769507,0.0011312217194570137,884,XGBoost__tabular_plus_graph_plus_spectral
0.0005038585513830185,0.0,884,XGBoost__tabular_plus_graph_plus_spectral
0.00109075044747442,0.012443438914027148,884,XGBoost__tabular_plus_graph_plus_spectral
0.0029322984628379345,0.05542986425339366,884,XGBoost__tabular_plus_graph_plus_spectral
0.01033080369234085,0.083710407239819,884,XGBoost__tabular_plus_graph_plus_spectral
0.049173302948474884,0.049773755656108594,884,XGBoost__tabular_plus_graph_plus_spectral
0.17678247392177582,0.027149321266968326,884,XGBoost__tabular_plus_graph_plus_spectral
0.6348611116409302,0.2319004524886878,884,XGBoost__tabular_plus_graph_plus_spectral
0.09093842163908046,0.02824858757062147,885,ExtraTrees__node2vec_embedding
0.13420945785584174,0.03619909502262444,884,ExtraTrees__node2vec_embedding
0.15333105519787052,0.03959276018099547,884,ExtraTrees__node2vec_embedding
0.16770945175444665,0.04524886877828054,884,ExtraTrees__node2vec_embedding
0.1798701005564887,0.05429864253393665,884,ExtraTrees__node2vec_embedding
0.19106472138072778,0.03733031674208145,884,ExtraTrees__node2vec_embedding
0.203234693645978,0.06221719457013575,884,ExtraTrees__node2vec_embedding
0.21667056795521902,0.05203619909502263,884,ExtraTrees__node2vec_embedding
0.23522330869482236,0.05542986425339366,884,ExtraTrees__node2vec_embedding
0.2747718493526433,0.05090497737556561,884,ExtraTrees__node2vec_embedding
0.18459299697810524,0.03728813559322034,885,HistGradientBoosting__node2vec_embedding
0.3430027070449938,0.033936651583710405,884,HistGradientBoosting__node2vec_embedding
0.40545873549056444,0.03959276018099547,884,HistGradientBoosting__node2vec_embedding
0.4405616515377356,0.04072398190045249,884,HistGradientBoosting__node2vec_embedding
0.46836058819302717,0.04638009049773756,884,HistGradientBoosting__node2vec_embedding
0.49237476403139924,0.04638009049773756,884,HistGradientBoosting__node2vec_embedding
0.5117341267453032,0.05656108597285068,884,HistGradientBoosting__node2vec_embedding
0.528951004376925,0.048642533936651584,884,HistGradientBoosting__node2vec_embedding
0.5477473622237632,0.05203619909502263,884,HistGradientBoosting__node2vec_embedding
0.6149686684444069,0.05995475113122172,884,HistGradientBoosting__node2vec_embedding
0.1528158038854599,0.059887005649717516,885,XGBoost__node2vec_embedding
0.318619042634964,0.05656108597285068,884,XGBoost__node2vec_embedding
0.38826802372932434,0.04072398190045249,884,XGBoost__node2vec_embedding
0.4256448447704315,0.03619909502262444,884,XGBoost__node2vec_embedding
0.45421868562698364,0.03619909502262444,884,XGBoost__node2vec_embedding
0.47741803526878357,0.04524886877828054,884,XGBoost__node2vec_embedding
0.4980674982070923,0.05090497737556561,884,XGBoost__node2vec_embedding
0.5193892121315002,0.042986425339366516,884,XGBoost__node2vec_embedding
0.5442896485328674,0.049773755656108594,884,XGBoost__node2vec_embedding
0.6042536497116089,0.042986425339366516,884,XGBoost__node2vec_embedding
0.0024733352845483047,0.0009881422924901185,1012,ExtraTrees__tabular_plus_graph_plus_node2vec
0.008707421368457088,0.001321003963011889,757,ExtraTrees__tabular_plus_graph_plus_node2vec
0.014258934560473259,0.006787330316742082,884,ExtraTrees__tabular_plus_graph_plus_node2vec
0.02126435323132549,0.012401352874859075,887,ExtraTrees__tabular_plus_graph_plus_node2vec
0.02878142297404528,0.017006802721088437,882,ExtraTrees__tabular_plus_graph_plus_node2vec
0.03897181126742506,0.027180067950169876,883,ExtraTrees__tabular_plus_graph_plus_node2vec
0.05136917317378865,0.03619909502262444,884,ExtraTrees__tabular_plus_graph_plus_node2vec
0.06914859860094247,0.05203619909502263,884,ExtraTrees__tabular_plus_graph_plus_node2vec
0.10023872845229807,0.06221719457013575,884,ExtraTrees__tabular_plus_graph_plus_node2vec
0.37128664601533,0.24547511312217193,884,ExtraTrees__tabular_plus_graph_plus_node2vec
6.392337914118669e-05,0.0,885,HistGradientBoosting__tabular_plus_graph_plus_node2vec
8.696550436035095e-05,0.0,884,HistGradientBoosting__tabular_plus_graph_plus_node2vec
0.000122275757614746,0.0,884,HistGradientBoosting__tabular_plus_graph_plus_node2vec
0.00017534973123042795,0.0,884,HistGradientBoosting__tabular_plus_graph_plus_node2vec
0.0002638383776724012,0.010180995475113122,884,HistGradientBoosting__tabular_plus_graph_plus_node2vec
0.0005483140583256165,0.05090497737556561,884,HistGradientBoosting__tabular_plus_graph_plus_node2vec
0.0021037393278193323,0.10407239819004525,884,HistGradientBoosting__tabular_plus_graph_plus_node2vec
0.01064282654402013,0.05203619909502263,884,HistGradientBoosting__tabular_plus_graph_plus_node2vec
0.0625981383533244,0.01583710407239819,884,HistGradientBoosting__tabular_plus_graph_plus_node2vec
0.5093307243745804,0.22850678733031674,884,HistGradientBoosting__tabular_plus_graph_plus_node2vec
4.94301893922966e-05,0.0,885,XGBoost__tabular_plus_graph_plus_node2vec
0.0001294017565669492,0.0,884,XGBoost__tabular_plus_graph_plus_node2vec
0.0002403396210866049,0.0,884,XGBoost__tabular_plus_graph_plus_node2vec
0.00045007545850239694,0.0011312217194570137,884,XGBoost__tabular_plus_graph_plus_node2vec
