model,policy,threshold,metric,point_estimate,ci_lower_95,ci_upper_95,n_test,bootstrap_resamples,tp,fp,tn,fn
HistGradientBoosting,top_5pct_budget,0.9991630107162434,precision,1.0,1.0,1.0,8841,1000,134,0,8433,274
HistGradientBoosting,top_5pct_budget,0.9991630107162434,recall,0.3284313725490196,0.28349424534991546,0.3747128245476003,8841,1000,134,0,8433,274
HistGradientBoosting,top_5pct_budget,0.9991630107162434,f1,0.4944649446494465,0.4417538194013166,0.5451506772153519,8841,1000,134,0,8433,274
HistGradientBoosting,top_5pct_budget,0.9991630107162434,false_positives_per_true_positive,0.0,0.0,0.0,8841,1000,134,0,8433,274
HistGradientBoosting,top_5pct_budget,0.9991630107162434,predicted_positive_rate,0.015156656486822758,0.012668250197941409,0.01775817215247144,8841,1000,134,0,8433,274
HistGradientBoosting,validation_precision_at_least_80pct,0.3395452642753695,accuracy,0.9518154054971157,0.947177921049655,0.9560004524375071,8841,1000,204,222,8211,204
HistGradientBoosting,validation_precision_at_least_80pct,0.3395452642753695,precision,0.4788732394366197,0.43333150984682717,0.5239290942819845,8841,1000,204,222,8211,204
HistGradientBoosting,validation_precision_at_least_80pct,0.3395452642753695,recall,0.5,0.4513313038313038,0.5463672443708741,8841,1000,204,222,8211,204
HistGradientBoosting,validation_precision_at_least_80pct,0.3395452642753695,f1,0.4892086330935252,0.4455885196817839,0.5269312353891743,8841,1000,204,222,8211,204
HistGradientBoosting,validation_precision_at_least_80pct,0.3395452642753695,false_positives_per_true_positive,1.088235294117647,0.9086552520200076,1.3077020202020202,8841,1000,204,222,8211,204
HistGradientBoosting,validation_precision_at_least_80pct,0.3395452642753695,predicted_positive_rate,0.04818459450288429,0.043434000678656264,0.05270896957357765,8841,1000,204,222,8211,204
HistGradientBoosting,validation_precision_at_least_90pct,0.5502049675387369,accuracy,0.9649360932021265,0.9608641556385025,0.9686687026354485,8841,1000,196,98,8335,212
HistGradientBoosting,validation_precision_at_least_90pct,0.5502049675387369,precision,0.6666666666666666,0.6074932329057314,0.7201365187713311,8841,1000,196,98,8335,212
HistGradientBoosting,validation_precision_at_least_90pct,0.5502049675387369,recall,0.4803921568627451,0.43203021380444584,0.5260826308744256,8841,1000,196,98,8335,212
HistGradientBoosting,validation_precision_at_least_90pct,0.5502049675387369,f1,0.5584045584045584,0.5109477681515338,0.6005875245263775,8841,1000,196,98,8335,212
HistGradientBoosting,validation_precision_at_least_90pct,0.5502049675387369,false_positives_per_true_positive,0.5,0.3886255924170616,0.6461089121552605,8841,1000,196,98,8335,212
