model,split,metric,point_estimate,ci_lower_95,ci_upper_95,n_test,positive_rate,bootstrap_resamples,k_for_precision_recall_at_k,model_family,train_seconds
Extra Trees,main_test,auroc,0.8694701080954141,0.8512487538180795,0.8863376378101837,8841,0.04614862572107228,1000,443,tabular_ml,4.931847095489502
Extra Trees,main_test,auprc,0.5698956987932415,0.5251163221524509,0.6130975945623875,8841,0.04614862572107228,1000,443,tabular_ml,4.931847095489502
Extra Trees,main_test,brier,0.02874524194667172,0.026151169248391462,0.031514770685956234,8841,0.04614862572107228,1000,443,tabular_ml,4.931847095489502
Extra Trees,main_test,precision_at_k,0.4582392776523702,0.39954853273137697,0.5146726862302483,8841,0.04614862572107228,1000,443,tabular_ml,4.931847095489502
Extra Trees,main_test,recall_at_k,0.49754901960784315,0.45037835631005274,0.5430190956506745,8841,0.04614862572107228,1000,443,tabular_ml,4.931847095489502
HistGradientBoosting,main_test,accuracy,0.9630132337970818,0.9587150774799231,0.9669720619839385,8841,0.04614862572107228,1000,443,tabular_ml,4.737494945526123
HistGradientBoosting,main_test,precision,0.6302250803858521,0.5705563063063063,0.6822429906542056,8841,0.04614862572107228,1000,443,tabular_ml,4.737494945526123
HistGradientBoosting,main_test,recall,0.4803921568627451,0.43203021380444584,0.5260826308744256,8841,0.04614862572107228,1000,443,tabular_ml,4.737494945526123
HistGradientBoosting,main_test,f1,0.545201668984701,0.4971076761629507,0.5872662042394965,8841,0.04614862572107228,1000,443,tabular_ml,4.737494945526123
HistGradientBoosting,main_test,auroc,0.8716198384962903,0.856692320627047,0.8857560741848496,8841,0.04614862572107228,1000,443,tabular_ml,4.737494945526123
HistGradientBoosting,main_test,auprc,0.5596799006096164,0.5123177660989715,0.6020584666467869,8841,0.04614862572107228,1000,443,tabular_ml,4.737494945526123
HistGradientBoosting,main_test,brier,0.03316816778704474,0.02999958194027512,0.03653016094947651,8841,0.04614862572107228,1000,443,tabular_ml,4.737494945526123
HistGradientBoosting,main_test,precision_at_k,0.4650112866817156,0.4018058690744921,0.5214446952595937,8841,0.04614862572107228,1000,443,tabular_ml,4.737494945526123
HistGradientBoosting,main_test,recall_at_k,0.5049019607843137,0.45432083098326753,0.5493324158146851,8841,0.04614862572107228,1000,443,tabular_ml,4.737494945526123
MLP,main_test,accuracy,0.9642574369415224,0.9602986087546658,0.9684424838819138,8841,0.04614862572107228,1000,443,tabular_ml,3.1631686687469482
MLP,main_test,precision,0.823943661971831,0.7567354756331135,0.8804388384166126,8841,0.04614862572107228,1000,443,tabular_ml,3.1631686687469482
MLP,main_test,recall,0.2867647058823529,0.24444691412906572,0.33158245189244295,8841,0.04614862572107228,1000,443,tabular_ml,3.1631686687469482
MLP,main_test,f1,0.4254545454545455,0.37431288467359497,0.4756564060549313,8841,0.04614862572107228,1000,443,tabular_ml,3.1631686687469482
MLP,main_test,auroc,0.8446278102133773,0.8246986072135253,0.8639715664519049,8841,0.04614862572107228,1000,443,tabular_ml,3.1631686687469482
MLP,main_test,auprc,0.4459375481714364,0.39464585939433366,0.501768917647462,8841,0.04614862572107228,1000,443,tabular_ml,3.1631686687469482
MLP,main_test,brier,0.03189758652813349,0.02846610164719368,0.03525436133525071,8841,0.04614862572107228,1000,443,tabular_ml,3.1631686687469482
MLP,main_test,precision_at_k,0.44243792325056436,0.3860045146726862,0.49887133182844245,8841,0.04614862572107228,1000,443,tabular_ml,3.1631686687469482
MLP,main_test,recall_at_k,0.4803921568627451,0.4351145038167939,0.5271341814414,8841,0.04614862572107228,1000,443,tabular_ml,3.1631686687469482
XGBoost,main_test,accuracy,0.9576970930890171,0.9535120461486257,0.9617718583870603,8841,0.04614862572107228,1000,443,tabular_ml,4.994131326675415
XGBoost,main_test,precision,0.546448087431694,0.49735124295078,0.5966532446311857,8841,0.04614862572107228,1000,443,tabular_ml,4.994131326675415
XGBoost,main_test,recall,0.49019607843137253,0.44069126256841035,0.5374725661934965,8841,0.04614862572107228,1000,443,tabular_ml,4.994131326675415
XGBoost,main_test,f1,0.5167958656330749,0.47196436332029557,0.5588698876763306,8841,0.04614862572107228,1000,443,tabular_ml,4.994131326675415
XGBoost,main_test,auroc,0.8627910194078817,0.84585542506049,0.8786309912186406,8841,0.04614862572107228,1000,443,tabular_ml,4.994131326675415
XGBoost,main_test,auprc,0.553342347276509,0.5067760569295142,0.5979002754345492,8841,0.04614862572107228,1000,443,tabular_ml,4.994131326675415
XGBoost,main_test,brier,0.03568666706180458,0.03253077125403855,0.03910043886175253,8841,0.04614862572107228,1000,443,tabular_ml,4.994131326675415
XGBoost,main_test,precision_at_k,0.4582392776523702,0.3972911963882618,0.5169300225733634,8841,0.04614862572107228,1000,443,tabular_ml,4.994131326675415
